Partlist

Exported from Control_Module.brd at 2015-08-10 3:16 PM

EAGLE Version 7.3.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value                        Package            Library                    Position (inch)       Orientation

C1       470uF                        E5-10,5            rcl                        (0.99 0.24)           MR90
C2       1uF                          C0603              rcl                        (0.3 0.64)            R90
C3       1uF                          C0603              rcl                        (0.3 0.14)            R270
C4       100nF                        C0603              rcl                        (0.3 0.49)            R270
C5       100nF                        C0603              rcl                        (0.3 0.29)            R90
D1       SB540E-G                     DO201T15           CBLA_Test_bed_Library      (2.48 0.61)           R0
IC1      MC7805BDTRKG                 DPACK_3            CBLA_Test_bed_Library      (0.63 0.54)           R90
IC2      UA78M33CKVU                  DPACK              CBLA_Test_bed_Library      (0.63 0.19)           R90
JP2                                   JP2                jumper                     (0.98 0.64)           R90
JP3                                   JP2                jumper                     (1.93 0.59)           R0
LED1                                  SML1206            led                        (2.77 0.43)           MR180
LED2                                  SML1206            led                        (0.46 0.54)           MR0
LED3                                  SML1206            led                        (0.46 0.25)           MR0
Q1       PROGRAM_FET                  SOT-23             transistors                (0.96 2.04)           R180
R1       470                          R0603              CBLA_Test_bed_Library      (2.59 0.43)           MR180
R2       4k7                          R0603              CBLA_Test_bed_Library      (1.16 0.61)           R270
R3       4k7                          R0603              CBLA_Test_bed_Library      (1.71 0.72)           R0
R4       470                          R0603              CBLA_Test_bed_Library      (0.47 0.13)           MR180
R5       470                          R0603              CBLA_Test_bed_Library      (0.46 0.44)           MR180
R6       4k7                          R0603              CBLA_Test_bed_Library      (0.97 2.21)           R0
R7       2.2k                         R0603              CBLA_Test_bed_Library      (1.08 1.32)           R270
R8       2.2k                         R0603              CBLA_Test_bed_Library      (1.85 1.69)           R270
SV1      PWM_I2C                      MA04-1             con-lstb                   (1.43 0.64)           R0
SV2      SPI                          MA04-2             con-lstb                   (0.71 2.99)           R0
SV3                                   MA08-1             con-lstb                   (0.18 2.69)           R270
SV4                                   MA08-1             con-lstb                   (0.18 1.89)           R270
SV5                                   MA08-1             con-lstb                   (0.18 1.09)           R270
SV6                                   MA08-1             con-lstb                   (2.78 2.69)           R90
SV7                                   MA08-1             con-lstb                   (2.78 1.89)           R90
SV8                                   MA08-1             con-lstb                   (2.78 1.09)           R90
U$2      TEENSY_3.1_ALL_PINS_AND_PADS TEENSY_3.1_ALLPINS Teensy_3_Series_Board_v1.0 (1.43 2.34)           R0
U1       PCA9685PW                    SOP65P640X110-28N  NXP_By_element14_Batch_1   (1.43 0.94)           R0
U2       74HC4051PW,118               SOP65P640X110-16N  NXP_By_element14_Batch_1   (1.43 1.29)           R0
U3       74HC4051PW,118               SOP65P640X110-16N  NXP_By_element14_Batch_1   (1.43 1.54)           R0
X1                                    1X02               CBLA_Test_bed_Library      (1.85 3.04)           R90
X7                                    W237-4P            con-wago-508               (2.47 0.2)            R0
X8       UART                         1X02               CBLA_Test_bed_Library      (1 2.99)              R90
X9                                    W237-4P            con-wago-508               (1.61 0.2)            R0
