Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Control_Module.brd" as of: 2015-01-16 12:25:22 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C2,Top,0.300,0.640,90
C3,Top,0.300,0.140,270
C4,Top,0.300,0.490,270
C5,Top,0.300,0.290,90
IC1,Top,0.630,0.540,90
IC2,Top,0.630,0.190,90
LED1,Bottom,2.770,0.430,180
LED2,Bottom,0.460,0.540,0
LED3,Bottom,0.460,0.250,0
Q1,Top,0.960,2.040,180
R1,Bottom,2.590,0.430,180
R2,Top,1.160,0.610,270
R3,Top,1.710,0.720,0
R4,Bottom,0.470,0.130,180
R5,Bottom,0.460,0.440,180
R6,Top,0.970,2.210,0
R7,Top,1.080,1.320,270
R8,Top,1.850,1.690,270
U1,Top,1.430,0.940,0
U2,Top,1.430,1.290,0
U3,Top,1.430,1.540,0
