Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Sound_Module.brd" as of: 2015-01-16 12:29:18 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C2,Top,2.500,0.650,270
C3,Top,2.100,0.650,270
C4,Top,2.600,0.650,270
C5,Top,2.200,0.650,270
C6,Top,1.700,0.650,270
C7,Top,1.800,0.650,270
C11,Top,1.300,0.650,270
C12,Top,1.400,0.650,270
IC1,Top,2.500,0.950,0
IC2,Top,2.100,0.950,0
IC3,Top,1.700,0.950,0
IC4,Bottom,0.850,0.850,270
LED1,Top,1.500,0.250,180
LED2,Top,2.400,0.600,90
LED3,Top,2.000,0.600,90
LED4,Top,1.600,0.600,90
LED5,Top,1.200,0.600,90
LED6,Top,0.425,2.275,90
LED7,Top,0.425,2.750,90
MOS1,Bottom,0.450,2.975,270
MOS2,Bottom,0.450,2.550,270
R1,Top,1.500,0.325,0
R2,Top,2.100,0.500,180
R3,Top,1.700,0.500,180
R4,Top,0.400,1.350,270
R5,Top,2.500,0.500,180
R6,Top,0.400,0.500,270
R7,Top,0.750,2.200,270
R8,Top,0.650,2.200,270
R10,Bottom,0.900,3.050,90
R11,Bottom,1.000,3.050,270
R12,Bottom,0.750,2.650,90
R13,Bottom,0.900,2.750,270
R14,Top,1.300,0.500,180
R15,Top,2.600,2.500,270
R17,Top,0.325,2.150,0
R18,Top,0.325,2.625,0
