"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"2";"";"JP2E";"JP2";"JP2, JP3";"JUMPER";"";"";"";"";"";"";
"3";"";"LEDSML1206";"SML1206";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";
"6";"";"MA08-1";"MA08-1";"SV3, SV4, SV5, SV6, SV7, SV8";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"2";"";"W237-04P";"W237-4P";"X7, X9";"WAGO SREW CLAMP";"";"";"unknown";"unknown";"";"";
"2";"100nF";"C-USC0603";"C0603";"C4, C5";"CAPACITOR, American symbol";"";"";"";"";"";"";
"2";"1uF";"C-USC0603";"C0603";"C2, C3";"CAPACITOR, American symbol";"";"";"";"";"";"";
"2";"2.2k";"R-US_R0603";"R0603";"R7, R8";"RESISTOR, American symbol";"";"";"";"";"";"";
"3";"470";"R-US_R0603";"R0603";"R1, R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"470uF";"CPOL-USE5-10.5";"E5-10,5";"C1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"3";"4k7";"R-US_R0603";"R0603";"R2, R3, R6";"RESISTOR, American symbol";"";"";"";"";"";"";
"2";"74HC4051PW,118";"74HC4051PW,118";"SOP65P640X110-16N";"U2, U3";"8-channel analog multiplexer/demultiplexer";"";"74HC4051PW,118";"1826843";"78R6260";"TSSOP-16";"NXP";
"1";"MC7805BDTRKG";"MC7805BDTRKG";"DPACK_3";"IC1";"1A Positive Voltage Regulators";"";"";"";"";"";"";
"1";"PCA9685PW";"PCA9685PW";"SOP65P640X110-28N";"U1";"16-channel, 12-bit PWM Fm+ I2C-bus LED controller";"";"PCA9685PW";"1854074";"19T6398";"TSSOP-28";"NXP";
"1";"PROGRAM_FET";"2N7002_SOT23";"SOT-23";"Q1";"2N7000, 2N7002, NDS7002A";"";"";"";"";"";"";
"1";"PWM_I2C";"MA04-1";"MA04-1";"SV1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"SB540E-G";"SB540E-G";"DO201T15";"D1";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";"";"";
"1";"SPI";"MA04-2";"MA04-2";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"TEENSY_3.1_ALL_PINS_AND_PADS";"TEENSY_3.1_ALL_PINS_AND_PADS";"TEENSY_3.1_ALLPINS";"U$2";"Footprint for Teensy 3.1 board using all pads and all through-holes. Pads need a 2x7 0.1" SMD header.";"";"";"";"";"";"";
"1";"UA78M33CKVU";"UA78M33CKVU";"DPACK";"IC2";"Linear Voltage Reg";"";"";"";"";"";"";
"1";"UART";"PINHD-1X2";"1X02";"X8";"PIN HEADER";"";"";"";"";"";"";
