"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3";"";"JP2E";"JP2";"JP1, JP2, JP3";"JUMPER";"";"";"";"";
"6";"";"LEDSML1206";"SML1206";"LED1, LED2, LED3, LED4, LED5, LED6";"LED";"";"";"";"";
"4";"";"PINHD-1X2/90";"1X02/90";"X11, X12, X13, X14";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-1X3/90";"1X03/90";"X2, X15";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-1X8";"1X08";"X4, X6";"PIN HEADER";"";"";"";"";
"1";"";"W237-04P";"W237-4P";"X1";"WAGO SREW CLAMP";"";"";"unknown";"unknown";
"4";"";"W237-102";"W237-102";"X7, X8, X9, X10";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";
"2";"100nF";"C-USC0603";"C0603";"C4, C5";"CAPACITOR, American symbol";"";"";"";"";
"6";"10uF";"C-USC0603";"C0603";"C2, C3, C6, C7, C8, C9";"CAPACITOR, American symbol";"";"";"";"";
"4";"1K";"R-US_R0603";"R0603";"R4, R5, R6, R7";"RESISTOR, American symbol";"";"";"";"";
"1";"267";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"";"";"";
"4";"4.7K";"R-US_R0603";"R0603";"R8, R9, R10, R11";"RESISTOR, American symbol";"";"";"";"";
"6";"470";"R-US_R0603";"R0603";"R2, R3, R12, R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";
"1";"470uF";"CPOL-USE5-10.5";"E5-10,5";"C1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"MC7805BDTRKG";"MC7805BDTRKG";"DPACK_3";"IC2";"1A Positive Voltage Regulators";"";"";"";"";
"4";"NTD5867NL";"NTD5867NLT4G";"DPACK";"T1, T2, T3, T4";"MOS FET";"";"";"";"";
"1";"OKR-T/10-W12";"OKR-T/10-W12";"OKR-C90";"IC1";"5V/10A Murata POL DC/DC Converter";"";"";"";"";
"2";"RJ45-8X";"RJ45-8X";"RJ45-NO-SHIELD";"X3, X5";"CORCOM Modular RJ Jacks No Shield";"";"RJ45-8X";"unknown";"16R6101";
"1";"SB540E-G";"SB540E-G";"DO201T15";"D1";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";
"1";"UA78M33CKVU";"UA78M33CKVU";"DPACK";"IC3";"Linear Voltage Reg";"";"";"";"";
